experiment,hardware_id,model_id,model_revision,device,dtype,num_threads,num_interop_threads,cpu_affinity,attention,use_cache,compile,quantization,context_length,batch_size,output_tokens,seed,ttft_seconds_count,ttft_seconds_mean,ttft_seconds_p50,ttft_seconds_p95,ttft_seconds_p99,ttft_seconds_min,ttft_seconds_max,tpot_seconds_count,tpot_seconds_mean,tpot_seconds_p50,tpot_seconds_p95,tpot_seconds_p99,tpot_seconds_min,tpot_seconds_max,tps_count,tps_mean,tps_p50,tps_p95,tps_p99,tps_min,tps_max,end_to_end_seconds_count,end_to_end_seconds_mean,end_to_end_seconds_p50,end_to_end_seconds_p95,end_to_end_seconds_p99,end_to_end_seconds_min,end_to_end_seconds_max,peak_rss_bytes_max,peak_cuda_allocated_bytes_max,peak_cuda_reserved_bytes_max
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,1,64,4012,10,0.04315980179235339,0.04314731410704553,0.043716991972178224,0.04377840248867869,0.042624558322131634,0.04379375511780381,10,0.04344329184719494,0.04341404275259092,0.04390027765923786,0.0439543915560676,0.042884644490504074,0.04396792003027503,10,23.01991433213709,23.034022051046655,23.281610431149538,23.3110179454236,22.743855049577714,23.318369823992118,10,2.780087188165635,2.7778690145350993,2.808849991043098,2.8121524942526595,2.7455263580195606,2.8129781200550497,1634861056,755021312,773849088
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,128,64,4012,10,0.12867050068452954,0.12889478588476777,0.13073825920000673,0.13083782548084855,0.12534613208845258,0.130862717051059,10,0.04306475546743189,0.043045564550935986,0.04330851914959827,0.04337008479516954,0.04277996385529164,0.04338547620656235,10,2972.310693603749,2973.59420104323,2988.880031246908,2991.4199173658167,2950.296071214706,2992.0548888955436,10,2.8417500951327384,2.8387576225213706,2.8574681635480372,2.8620315126981586,2.8260004399344325,2.863172349985689,1548992512,1795665408,1994391552
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,16,64,4012,10,0.042393583431839944,0.04228044068440795,0.04389396691694856,0.04426657671108842,0.04155254224315286,0.044359729159623384,10,0.04444945713002531,0.04405028210391128,0.046542955623821367,0.04804638669175643,0.04366637973321809,0.048422244458740195,10,360.26166726498684,363.22324083516907,365.82685139372836,366.2970674380301,330.426649546023,366.41462144910554,10,2.842709382623434,2.81741213100031,2.974502356443554,3.069331636223942,2.7927865320816636,3.093038956169039,1640857600,883336704,987758592
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,2,64,4012,10,0.043952320516109464,0.04350301017984748,0.04649481805972755,0.04793309061788023,0.042740080039948225,0.048292658757418394,10,0.045163068533061984,0.04465828600916125,0.04784651839078241,0.04898304541765283,0.04396471579278272,0.04926717717437044,10,44.33204946520103,44.78765773633884,45.4689472252547,45.486609713495774,40.5949785375654,45.491025335556046,10,2.8892256380990147,2.8593150910455734,3.0573606339050454,3.1287299204012378,2.813389629125595,3.146572242025286,1640198144,763215360,784334848
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,32,64,4012,10,0.0425768272485584,0.04249355266802013,0.044283886719495055,0.0452876484580338,0.041178562212735415,0.045538588892668486,10,0.04522610728495887,0.045144224572660666,0.04560341511941737,0.045671156090905975,0.044697120430923644,0.04568809133377813,10,707.5797077158624,708.8393255860539,712.9496216600271,715.333755549568,700.4013314152555,715.9297890219533,10,2.8918215862009675,2.8864487253595144,2.9162830584682524,2.9193691411055624,2.8577438658103347,2.92014066176489,1641041920,1009036800,1155530752
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,4,64,4012,10,0.0438029836397618,0.04364234767854214,0.04499788023531437,0.0455657072365284,0.04299559071660042,0.0457076639868319,10,0.04584832492225346,0.04527140680020527,0.049086759775684816,0.05139410126030386,0.04466715974674102,0.05197093663145862,10,87.40204266507834,88.35604158421756,89.471563566658,89.53531290550245,76.96609411458545,89.55125024021358,10,2.9322474537417293,2.8959251665510237,3.1361300821183242,3.281187478951179,2.858008532319218,3.317451828159392,1640574976,779603456,828375040
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,64,64,4012,10,0.05684279473498464,0.05662430124357343,0.05790442321449518,0.05803352128714323,0.055858966894447803,0.05806579580530524,10,0.04446110184792251,0.04421903687854489,0.045105469434536874,0.04511792280859063,0.04398180766858988,0.04512103615210406,10,1439.5902579539847,1447.3407506355547,1454.2902459425181,1454.9757313401872,1418.4071434941013,1455.1471026896045,10,2.857892211154103,2.842426859540865,2.898633060697466,2.8989471990056335,2.828919678926468,2.8990257335826755,1548075008,1273343488,1379926016
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,8,64,4012,10,0.041351309744641185,0.041177482111379504,0.04211800668854267,0.04212303968612105,0.040633758995682,0.04212429793551564,10,0.04426994531947588,0.04416393300163604,0.044927023285408575,0.04500326859439531,0.043915887666304436,0.04502232992164199,10,180.720267309781,181.14329011777681,182.0948682205462,182.15210896475907,177.6896045567478,182.16641915081226,10,2.830357864871621,2.823502076091245,2.8724453364033256,2.877313933679834,2.8078715950250626,2.878531082998961,1640755200,813485568,861929472
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,2048,1,64,4012,10,0.04313796376809478,0.04295727820135653,0.04437930134590715,0.044510234887711705,0.04239305481314659,0.04454296827316284,10,0.043994491872569874,0.04400092073612743,0.044452689676028154,0.04463168241896682,0.043410423588717266,0.04467643060470148,10,22.731263741770068,22.72682543551649,22.967496182255267,23.022252836725222,22.383166839088663,23.03594200034271,10,2.8147909517399965,2.8155260179191828,2.844281272380613,2.855891768145375,2.7774223079904914,2.8587943920865655,1654906880,878889472,2019557376
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,2048,128,64,4012,10,2.9762795307207854,2.979344769148156,3.0624778810422866,3.0718865066673606,2.880529443733394,3.074238663073629,10,0.04738661526214508,0.04739281661911971,0.04743703296851544,0.04743709190260796,0.04727576301980113,0.04743710663613109,10,2701.1871206295887,2700.831255198261,2705.385942816253,2707.091938174176,2698.3095950988527,2707.5184370136567,10,5.961636292235926,5.966692824615166,6.049177480000071,6.059318143329583,5.8589025139808655,6.061853309161961,1551925248,17528932864,20319305728
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,2048,16,64,4012,10,0.3217371075414121,0.3221337329596281,0.32297546553891154,0.3229996873950586,0.3198161250911653,0.32300574285909534,10,0.04462630353749744,0.04464143886792636,0.0449486817118697,0.04498287817115881,0.04417198021999664,0.04499142728598109,10,358.54562509967997,358.4114481734991,361.73919484182875,362.12429762496555,355.62330348620554,362.22057332074974,10,3.1331942304037512,3.1350094131194055,3.152913582511246,3.154003551788628,3.1049758829176426,3.1542760441079736,1655144448,2845010432,3445620736
